Date,Open,High,Low,Close,Volume
2022-07-12 11:15:00,19695.3,19960.0,19688.2,19729.8,646.946
2022-07-12 11:20:00,19729.8,20193.9,19713.8,19713.8,985.261
2022-07-12 11:25:00,19713.8,20193.9,19700.0,19772.7,296.593
2022-07-12 11:30:00,19772.7,19823.3,19755.8,19823.3,228.892
2022-07-12 11:35:00,19799.4,19823.3,19737.1,19766.9,223.029
2022-07-12 11:40:00,19766.9,20193.9,19765.6,19797.4,432.848
2022-07-12 11:45:00,19797.4,20180.0,19771.9,19784.0,305.015
2022-07-12 11:50:00,19784.0,20193.9,19782.8,19788.1,226.877
2022-07-12 11:55:00,19788.1,20193.9,19765.6,19771.4,358.233
2022-07-12 12:00:00,19771.4,20193.9,19737.1,19800.0,637.076
2022-07-12 12:05:00,19815.5,20193.7,19800.0,19832.2,265.279
2022-07-12 12:10:00,19832.2,20193.7,19832.2,20192.0,207.723
2022-07-12 12:15:00,19972.5,20192.9,19825.1,20006.4,385.38
2022-07-12 12:20:00,20006.4,20107.9,19825.1,19939.0,252.804
2022-07-12 12:25:00,19956.8,20088.0,19820.0,19957.5,422.86
2022-07-12 12:30:00,19969.3,20098.0,19865.6,19907.4,764.472
2022-07-12 12:35:00,19905.0,20092.9,19886.7,19927.5,678.098
2022-07-12 12:40:00,19927.5,20092.8,19879.6,19916.5,383.705
2022-07-12 12:45:00,19916.4,20069.0,19879.6,19891.3,256.44
2022-07-12 12:50:00,19895.7,20094.2,19838.0,19879.9,700.086
2022-07-12 12:55:00,19925.3,20092.3,19858.8,19885.6,218.498
2022-07-12 13:00:00,19945.2,20093.1,19855.8,20046.5,331.674
2022-07-12 13:05:00,20047.0,20093.6,19869.2,19914.9,493.994
2022-07-12 13:10:00,19914.9,19940.1,19899.2,19914.9,338.579
2022-07-12 13:15:00,19940.1,20093.9,19902.9,19913.6,805.536
2022-07-12 13:20:00,19914.0,19931.2,19880.1,19880.1,904.32
2022-07-12 13:25:00,19879.9,20000.0,19838.0,20000.0,596.154
2022-07-12 13:30:00,20000.0,20093.8,19838.0,19838.0,295.577
2022-07-12 13:35:00,19981.5,20091.9,19838.0,19946.4,264.659
2022-07-12 13:40:00,19946.4,20092.6,19810.8,20090.0,511.995
2022-07-12 13:45:00,20012.4,20090.0,19785.2,19866.6,469.033
2022-07-12 13:50:00,19859.1,20090.0,19770.9,19875.4,464.291
2022-07-12 13:55:00,19875.8,20090.0,19737.1,19839.8,394.869
