Date,Open,High,Low,Close,Volume
2022-08-04 05:50:00,23780.0,23780.0,23198.0,23198.0,84.921
2022-08-04 05:51:00,23228.2,23900.0,23198.0,23900.0,84.941
2022-08-04 05:52:00,23852.2,23898.0,23198.0,23898.0,132.174
2022-08-04 05:53:00,23898.0,23900.0,23198.0,23228.2,74.257
2022-08-04 05:54:00,23520.4,23946.0,23198.0,23653.4,83.717
2022-08-04 05:55:00,23606.1,23946.0,23198.0,23198.0,136.568
2022-08-04 05:56:00,23556.3,23946.0,23120.8,23671.1,138.937
2022-08-04 05:57:00,23623.8,23671.1,23116.2,23671.1,83.901
2022-08-04 05:58:00,23588.0,23588.0,23298.7,23500.0,36.953
2022-08-04 05:59:00,23298.7,23588.0,23298.7,23588.0,91.087
2022-08-04 06:00:00,23476.6,23588.0,23119.9,23444.3,204.147
2022-08-04 06:01:00,23414.8,23588.0,23414.8,23588.0,52.62
2022-08-04 06:02:00,23540.8,23945.0,23117.0,23303.4,104.111
2022-08-04 06:03:00,23300.0,23945.0,23119.0,23517.1,45.015
2022-08-04 06:04:00,23530.0,23945.0,23119.0,23177.3,97.326
2022-08-04 06:05:00,23143.8,23143.8,23132.4,23132.4,19.982
2022-08-04 06:06:00,23130.0,23940.0,23130.0,23940.0,29.432
2022-08-04 06:07:00,23824.0,23940.0,23145.2,23179.1,44.197
2022-08-04 06:08:00,23179.1,23940.0,23156.0,23156.0,55.834
2022-08-04 06:09:00,23153.9,23175.7,23136.7,23175.7,36.302
2022-08-04 06:10:00,23175.7,23175.7,23134.1,23138.1,217.667
2022-08-04 06:11:00,23132.4,23175.7,23126.8,23175.7,86.379
2022-08-04 06:12:00,23145.4,23945.0,23136.2,23945.0,340.97
2022-08-04 06:13:00,23945.0,23945.0,23381.6,23620.4,64.457
2022-08-04 06:14:00,23590.3,23945.0,23134.4,23134.4,111.935
2022-08-04 06:15:00,23130.7,23945.0,23117.0,23117.0,80.931
2022-08-04 06:16:00,23123.3,23488.0,23117.0,23170.5,34.406
2022-08-04 06:17:00,23275.7,23488.0,23120.0,23120.0,44.16
2022-08-04 06:18:00,23150.1,23150.1,23117.0,23117.0,5.589
2022-08-04 06:19:00,23150.1,23488.0,23118.0,23488.0,49.212
2022-08-04 06:20:00,23118.0,23945.0,23117.0,23633.9,113.4
2022-08-04 06:21:00,23586.6,23945.0,23117.0,23504.1,43.651
2022-08-04 06:22:00,23457.1,23945.0,23000.0,23151.7,189.014
2022-08-04 06:23:00,23151.7,23945.0,23120.0,23179.0,54.303
2022-08-04 06:24:00,23376.8,23945.0,23011.1,23517.5,107.058
2022-08-04 06:25:00,23470.5,23526.6,23011.1,23526.6,4.013
2022-08-04 06:26:00,23141.1,23945.0,23115.3,23523.7,114.086
2022-08-04 06:27:00,23541.3,23860.0,23000.0,23810.0,97.031
2022-08-04 06:28:00,23810.0,23860.0,23000.0,23505.1,52.636
2022-08-04 06:29:00,23480.4,23488.0,23000.0,23441.0,1.106
2022-08-04 06:30:00,23440.2,23488.0,22958.0,23267.5,31.664
2022-08-04 06:31:00,22995.8,23488.0,22958.0,22958.0,78.293
2022-08-04 06:32:00,22984.0,23820.0,22958.0,23294.9,67.474
2022-08-04 06:33:00,23308.9,23940.5,22919.4,22919.4,87.744
2022-08-04 06:34:00,22949.2,23940.5,22888.3,22934.1,71.483
2022-08-04 06:35:00,22926.8,23590.1,22926.8,23342.6,94.12
2022-08-04 06:36:00,23708.9,23797.7,22938.0,23177.0,117.781
2022-08-04 06:37:00,23207.1,23692.7,23177.0,23207.1,26.824
2022-08-04 06:38:00,23363.0,23940.5,23177.0,23940.5,175.516
